"group";"ISOweek";"N"
"45to64";"2016-W06";1507483.85714286
"45to64";"2016-W07";1507498.14285714
"45to64";"2016-W08";1507507.57142857
"45to64";"2016-W09";1507670.85714286
"45to64";"2016-W10";1507636.85714286
"45to64";"2016-W11";1507657.42857143
"45to64";"2016-W12";1507769
"45to64";"2016-W13";1508090
"45to64";"2016-W14";1508316
"45to64";"2016-W15";1508537.28571429
"45to64";"2016-W16";1508765.14285714
"45to64";"2016-W17";1508991.71428571
"45to64";"2016-W18";1509162.14285714
"45to64";"2016-W19";1509401
"45to64";"2016-W20";1509603.57142857
"45to64";"2016-W21";1509802.28571429
"45to64";"2016-W22";1510017.42857143
"45to64";"2016-W23";1510166.42857143
"45to64";"2016-W24";1510355.57142857
"45to64";"2016-W25";1510594.57142857
"45to64";"2016-W26";1510963.14285714
"45to64";"2016-W27";1511118.28571429
"45to64";"2016-W28";1511366
"45to64";"2016-W29";1511615.28571429
"45to64";"2016-W30";1511870
"45to64";"2016-W31";1512206.85714286
"45to64";"2016-W32";1512361
"45to64";"2016-W33";1512666.14285714
"45to64";"2016-W34";1512933.57142857
"45to64";"2016-W35";1513222
"45to64";"2016-W36";1513349
"45to64";"2016-W37";1513726.42857143
"45to64";"2016-W38";1514030
"45to64";"2016-W39";1514408
"45to64";"2016-W40";1514474.85714286
"45to64";"2016-W41";1514717.85714286
"45to64";"2016-W42";1514972
"45to64";"2016-W43";1515144
"45to64";"2016-W44";1515299
"45to64";"2016-W45";1515287.42857143
"45to64";"2016-W46";1515420.71428571
"45to64";"2016-W47";1515526.14285714
"45to64";"2016-W48";1515715.57142857
"45to64";"2016-W49";1515743.57142857
"45to64";"2016-W50";1515903.57142857
"45to64";"2016-W51";1515926.28571429
"45to64";"2016-W52";1515959.28571429
"45to64";"2017-W01";1516174.42857143
"45to64";"2017-W02";1516381.57142857
"45to64";"2017-W03";1516547.28571429
"45to64";"2017-W04";1516688.42857143
"45to64";"2017-W05";1516895.28571429
"45to64";"2017-W06";1517075.85714286
"45to64";"2017-W07";1517308.85714286
"45to64";"2017-W08";1517478.71428571
"45to64";"2017-W09";1517718.42857143
"45to64";"2017-W10";1517889.42857143
"45to64";"2017-W11";1518066.28571429
"45to64";"2017-W12";1518263
"45to64";"2017-W13";1518463
"45to64";"2017-W14";1518411.71428571
"45to64";"2017-W15";1518727
"45to64";"2017-W16";1518900.71428571
"45to64";"2017-W17";1519249.71428571
"45to64";"2017-W18";1519681.71428571
"45to64";"2017-W19";1519880
"45to64";"2017-W20";1520184
"45to64";"2017-W21";1520470.85714286
"45to64";"2017-W22";1520789.14285714
"45to64";"2017-W23";1520948.85714286
"45to64";"2017-W24";1521285.28571429
"45to64";"2017-W25";1521611.14285714
"45to64";"2017-W26";1522091
"45to64";"2017-W27";1522134.42857143
"45to64";"2017-W28";1522376
"45to64";"2017-W29";1522675.28571429
"45to64";"2017-W30";1522937.71428571
"45to64";"2017-W31";1523314.85714286
"45to64";"2017-W32";1523561.85714286
"45to64";"2017-W33";1523869.14285714
"45to64";"2017-W34";1524155.28571429
"45to64";"2017-W35";1524450
"45to64";"2017-W36";1524533.85714286
"45to64";"2017-W37";1524768.42857143
"45to64";"2017-W38";1524853.14285714
"45to64";"2017-W39";1525052.57142857
"45to64";"2017-W40";1524977.85714286
"45to64";"2017-W41";1525088.57142857
"45to64";"2017-W42";1525100.14285714
"45to64";"2017-W43";1525199.85714286
"45to64";"2017-W44";1525287.28571429
"45to64";"2017-W45";1525214.28571429
"45to64";"2017-W46";1525273.57142857
"45to64";"2017-W47";1525352.57142857
"45to64";"2017-W48";1525406.85714286
"45to64";"2017-W49";1525371.85714286
"45to64";"2017-W50";1525386.42857143
"45to64";"2017-W51";1525359.85714286
"45to64";"2017-W52";1525362.42857143
"45to64";"2018-W01";1525250.14285714
"45to64";"2018-W02";1525319.14285714
"45to64";"2018-W03";1525406.28571429
"45to64";"2018-W04";1525557.71428571
"45to64";"2018-W05";1525740.28571429
"45to64";"2018-W06";1525769.42857143
"45to64";"2018-W07";1525871.85714286
"45to64";"2018-W08";1525917.42857143
"45to64";"2018-W09";1526028.14285714
"45to64";"2018-W10";1525913.85714286
"45to64";"2018-W11";1525995.57142857
"45to64";"2018-W12";1526072.57142857
"45to64";"2018-W13";1526172.42857143
"45to64";"2018-W14";1526154.71428571
"45to64";"2018-W15";1526272.42857143
"45to64";"2018-W16";1526286.42857143
"45to64";"2018-W17";1526301.85714286
