"group";"ISOweek";"GSIPLS"
"45to64";"2020-W17";0
"45to64";"2020-W18";0
"45to64";"2020-W19";0
"45to64";"2020-W20";0
"45to64";"2020-W21";0
"45to64";"2020-W22";5.14692469144719e-05
"65to74";"2014-W27";0
"65to74";"2014-W28";0
"65to74";"2014-W29";0
"65to74";"2014-W30";0
"65to74";"2014-W31";0
"65to74";"2014-W32";0
"65to74";"2014-W33";0
"65to74";"2014-W34";0
"65to74";"2014-W35";0
"65to74";"2014-W36";0
"65to74";"2014-W37";0.000642980441703547
"65to74";"2014-W38";0
"65to74";"2014-W39";0
"65to74";"2014-W40";0
"65to74";"2014-W41";0
"65to74";"2014-W42";0
"65to74";"2014-W43";0
"65to74";"2014-W44";0
"65to74";"2014-W45";0
"65to74";"2014-W46";0
"65to74";"2014-W47";0
"65to74";"2014-W48";0
"65to74";"2014-W49";0
"65to74";"2014-W50";0
"65to74";"2014-W51";0
"65to74";"2014-W52";0
"65to74";"2015-W01";0.00207671087978422
"65to74";"2015-W02";0.00212053249686247
"65to74";"2015-W03";0.000789613032274435
"65to74";"2015-W04";0.00296524730977297
"65to74";"2015-W05";0.00529158842958205
